sample,alpha,pH,clay,silt,sand,site
BA11,3,4.43,0.12,0.06,0.82,BA1
BA12,1,4.21,0.12,0.06,0.82,BA1
BA13,2,4.44,0.1,0.06,0.84,BA1
BA14,1,4.44,0.12,0.04,0.84,BA1
BA15,1,4.57,0.1,0.04,0.86,BA1
BA21,2,4.67,0.1,0.08,0.82,BA2
BA22,1,4.92,0.12,0.08,0.8,BA2
BA23,1,7.24,0.08,0.1,0.82,BA2
BA24,0,5.89,0.1,0.1,0.8,BA2
BA25,1,5.97,0.04,0.06,0.9,BA2
BG11,0,4.43,0.1,0.02,0.88,BG1
BG12,2,4.58,0.06,0.04,0.9,BG1
BG13,5,4.2,0.08,0.04,0.88,BG1
BG14,3,4.37,0.08,0.02,0.9,BG1
BG15,4,4.2,0.06,0.04,0.9,BG1
BG21,2,4.87,0.06,0.1,0.84,BG2
BG22,2,4.83,0.08,0.1,0.82,BG2
BG23,3,5.21,0.08,0.08,0.84,BG2
BG24,2,4.56,0.06,0.08,0.86,BG2
BG25,2,5.38,0.12,0.14,0.74,BG2
BU11,3,5.22,0.1,0.06,0.84,BU1
BU12,2,4.16,0.12,0.06,0.82,BU1
BU13,3,4.77,0.1,0.02,0.88,BU1
BU14,3,5.29,0.04,0.06,0.9,BU1
BU15,1,5.86,0.06,0.04,0.9,BU1
BU21,0,4.52,0.1,0.08,0.82,BU2
BU22,2,4.6,0.08,0.06,0.86,BU2
BU23,1,4.64,0.06,0.04,0.9,BU2
BU24,4,4.4,0.06,0.06,0.88,BU2
BU25,5,4.64,0.1,0.04,0.86,BU2
YP11,1,4.97,0.1,0.08,0.82,YP1
YP12,0,4.75,0.14,0.04,0.82,YP1
YP13,4,4.49,0.12,0.06,0.82,YP1
YP14,3,4.57,0.12,0.06,0.82,YP1
YP15,3,4.53,0.14,0.02,0.84,YP1
YP21,4,4.27,0.12,0.08,0.8,YP2
YP22,1,4.43,0.18,0.06,0.76,YP2
YP23,6,4.31,0.12,0.12,0.76,YP2
YP24,1,4.49,0.14,0.08,0.78,YP2
YP25,0,4.29,0.1,0.08,0.82,YP2
ZH11,1,5.61,0.12,0.08,0.8,ZH1
ZH12,5,5.23,0.08,0.04,0.88,ZH1
ZH13,2,7.3,0.1,0.1,0.8,ZH1
ZH14,1,6.13,0.06,0.04,0.9,ZH1
ZH15,3,4.88,0.08,0.06,0.86,ZH1
ZH21,4,4.59,0.08,0.02,0.9,ZH2
ZH22,1,5.69,0.08,0.02,0.9,ZH2
ZH23,4,5.67,0.1,0.04,0.86,ZH2
ZH24,2,5.86,0.08,0.02,0.9,ZH2
ZH25,0,4.98,0.1,0.04,0.86,ZH2
