site,Russula_OTU01,Tomentella_OTU13_parmastoana,Tomentella_OTU02,Lactarius_OTU01,Tomentella_OTU03,Tomentella_OTU04,Scleroderma_OTU01,Tomentella_OTU05,Tomentella_OTU06,Tomentella_OTU07,Tomentella_OTU08,Tomentella_OTU09,Tomentella_OTU10,Tomentella_OTU11,Tomentella_OTU12,Russula_OTU03_violeipes,Russula_OTU02,Clavulina_OTU01,Inocybe_OTU01,Scleroderma_OTU02,Tomentella_OTU01
BA1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BB1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
BB2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BG1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BG2,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
YP1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
YP2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0
ZH1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
ZH2,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
