,Russula_OTU01,Tomentella_OTU15_parmastoana,Tomentella_OTU02,Lactarius_OTU01,Tomentella_OTU03,Tomentella_OTU04,Scleroderma_OTU01,Tomentella_OTU05,Tomentella_OTU06,Tomentella_OTU07,Tomentella_OTU08,Tomentella_OTU09,Tomentella_OTU10,Tomentella_OTU11,Tomentella_OTU12,Tomentella_OTU13,Russula_OTU02,Tomentella_OTU14_guineensis,Russula_OTU04_violeipes,Lactifluus_OTU01,Russula_OTU03,Clavulina_OTU01,Inocybe_OTU01,Scleroderma_OTU02,Tomentella_OTU01,*Non-ECM fungi
BA11,0.071428571,0,0,0.87630662,0,0.020905923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031358885
BA12,0,0,0,0.615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384615385
BA13,0,0,0,0.055555556,0.619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325396825
BA15,0,0,0,0.103448276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896551724
BA21,0,0,0,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829885057,0,0,0,0,0,0,0.135632184
BA22,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667
BA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667
BA24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BA25,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
BB11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BB12,0,0,0.057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002627258,0,0,0,0,0.939901478
BB13,0.00585262,0,0.003990423,0.290768821,0,0,0.000798085,0.027932961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67065709
BB14,0.11416185,0,0,0.835672998,0,0,0,0.048513625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001651528
BB15,0,0,0.671249495,0.00283057,0.0270926,0,0,0.01860089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280226446
BB21,0,0,0,0,0.96688172,0,0,0.010322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022795699
BB22,0.108033241,0,0,0.023545706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.868421053
BB23,0.901869159,0,0,0.005688744,0,0,0,0,0,0,0,0,0,0,0,0,0.002031694,0,0,0,0,0,0,0,0,0.090410402
BB24,0,0,0,0.445995423,0.470709382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083295195
BB25,0.99717159,0,0,0.001885607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000942803
ZH11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZH12,0,0,0.014018692,0,0.514018692,0.152647975,0,0,0.043613707,0,0,0,0.141744548,0,0,0,0,0,0,0,0,0,0,0,0,0.133956386
ZH13,0,0,0,0,0,0.756222548,0,0,0,0.041727672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20204978
ZH14,0,0,0,0,0,0.639784946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360215054
ZH15,0.002047502,0,0,0,0,0.728910729,0,0,0,0.057330057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211711712
ZH21,0,0,0.373831776,0.242990654,0,0.289719626,0,0.046728972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046728972
ZH22,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
ZH23,0,0,0,0.197530864,0,0,0,0.438271605,0,0.037037037,0,0,0,0,0,0,0,0.327160494,0,0,0,0,0,0,0,0
ZH25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BG11,0,0.375838926,0,0.022371365,0,0.469798658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131991051
BG12,0.333333333,0,0,0,0,0.52688172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139784946
BG13,0.747799296,0,0,0.003961268,0,0.186619718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061619718
BG14,0.051299435,0,0,0,0,0,0,0.716384181,0,0,0,0,0,0,0,0,0,0,0,0.134237288,0,0,0,0,0,0.098079096
BG15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG24,0.125786164,0,0.371069182,0,0.182389937,0,0,0,0,0.251572327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06918239
BG25,0,0,0,0.615520282,0,0.250440917,0,0.037037037,0,0,0,0,0,0,0,0.008818342,0,0.007054674,0,0,0,0,0,0,0,0.081128748
YP11,0,0,0,0,0,0,0.845360825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154639175
YP12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YP13,0,0,0,0.904428904,0,0,0.054001554,0,0,0,0,0.001165501,0,0.04040404,0,0,0,0,0,0,0,0,0,0,0,0
YP14,0,0,0,0.953858718,0,0,0.010616578,0,0,0,0,0,0,0.034708044,0,0,0,0,0,0,0,0,0,0,0,0.00081666
YP15,0,0,0,0.004058167,0,0,0.789651674,0,0,0,0,0,0,0.072708827,0,0,0,0,0,0,0,0,0,0,0,0.133581332
YP21,0.585065992,0,0,0,0,0,0.062194901,0,0,0,0.000542397,0,0,0,0,0,0,0,0,0,0,0.000542397,0,0,0,0.351654312
YP22,0,0,0,0.955100161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044899839
YP23,0,0,0,0.647570486,0,0,0.24325135,0,0,0,0,0,0,0,0.0014997,0,0,0,0,0,0.00089982,0.00659868,0.067786443,0,0,0.032393521
YP24,0,0,0,0.853452325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146547675
YP25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ZH24,0,0,0,0.415204678,0,0,0,0,0.49122807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093567251
BG21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BG22,0,0,0,0.349206349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0.507936508
BA14,0,0,0,0.858585859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141414141
