"X","Russula_OTU01","Tomentella_OTU14_parmastoana","Tomentella_OTU02","Lactarius_OTU01","Tomentella_OTU03","Tomentella_OTU04","Scleroderma_OTU01","Tomentella_OTU05","Tomentella_OTU06","Tomentella_OTU07","Tomentella_OTU08","Tomentella_OTU09","Tomentella_OTU10","Tomentella_OTU11","Tomentella_OTU12","Tomentella_OTU13","Russula_OTU03_violeipes","Russula_OTU02","Clavulina_OTU01","Scleroderma_OTU02","Tomentella_OTU01","X.Non.ECM.fungi"
"1",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"1",1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"1",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1",1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"1",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"1",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"1",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
