,Russula_OTU1,Tomentella_parmastoana_OTU1,Tomentella_OTU2,Lactarius_OTU1,Tomentella_OTU3,Tomentella_OTU4,Scleroderma_OTU1,Tomentella_OTU5,Tomentella_OTU6,Tomentella_OTU7,Tomentella_OTU8,Tomentella_OTU9,Tomentella_OTU10,Tomentella_OTU11,Tomentella_OTU12,Tomentella_OTU13,Russula_violeipes_OTU2,Russula_OTU3,Clavulina_OTU1,Scleroderma_OTU2,Tomentella_OTU14,Non-ECM fungi
BA11,0.0710382513661202,0,0,0.877959927140255,0,0.0182149362477231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327868852459016
BA12,0,0,0,0.615384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384615384615385
BA13,0,0,0,0.0583333333333333,0.616666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325
BA15,0,0,0,0.087719298245614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.912280701754386
BA21,0,0,0,0.0607287449392713,0,0,0,0,0,0,0,0,0,0,0,0,0.700404858299595,0,0,0,0,0.238866396761134
BA22,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667
BA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.666666666666667
BA24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BA25,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
BB11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BB12,0,0,0.061836809366996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00292718624222466,0,0,0,0.935236004390779
BB13,0.00551571980143409,0,0.00386100386100386,0.287920573634859,0,0,0.000827357970215113,0.0286817429674573,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67319360176503
BB14,0.102729088085201,0,0,0.845573552252052,0,0,0,0.0499223430219658,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00177501664078101
BB15,0,0,0.673350041771094,0.0025062656641604,0.0267335004177109,0,0,0.0175438596491228,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279866332497912
BB21,0,0,0,0,0.967582170193606,0,0,0.00990544799639802,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225123818099955
BB22,0.105682229460731,0,0,0.0231632283749548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.871154542164315
BB23,0.901818181818182,0,0,0.00577540106951872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924064171122995
BB24,0,0,0,0.428153921091086,0.487092060399415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0847540185094983
BB25,0.997011952191235,0,0,0.00199203187250996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099601593625498
ZH11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZH12,0,0,0.015177065767285,0,0.536256323777403,0.160202360876897,0,0,0,0,0,0,0.146711635750422,0,0,0,0,0,0,0,0,0.141652613827993
ZH13,0,0,0,0,0,0.733481811432814,0,0,0.0675575352635486,0,0,0,0,0,0,0,0,0,0,0,0,0.198960653303637
ZH14,0,0,0,0,0,0.662213740458015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337786259541984
ZH15,0.00212765957446809,0,0,0,0,0.728936170212766,0,0,0.0570212765957447,0,0,0,0,0,0,0,0,0,0,0,0,0.211914893617022
ZH21,0,0,0.372549019607843,0.235294117647059,0,0.294117647058824,0,0.0490196078431373,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490196078431373
ZH22,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
ZH23,0,0,0,0.2,0,0,0,0.458064516129032,0.0387096774193548,0,0,0,0,0,0,0.303225806451613,0,0,0,0,0,0
ZH25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BG11,0,0.381944444444444,0,0.0231481481481481,0,0.462962962962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131944444444445
BG12,0.371069182389937,0,0,0,0,0.465408805031447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163522012578616
BG13,0.747645951035782,0,0,0.00423728813559322,0,0.170433145009416,0,0,0.0127118644067797,0,0,0,0,0,0,0,0,0,0,0,0,0.0649717514124294
BG14,0.0522078555745304,0,0,0,0,0,0,0.740668455720908,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207123688704562
BG15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG24,0.114093959731544,0,0.369127516778524,0,0.187919463087248,0,0,0,0.261744966442953,0,0,0,0,0,0,0,0,0,0,0,0,0.0671140939597315
BG25,0,0,0,0.613382899628253,0,0.256505576208178,0,0.0371747211895911,0,0,0,0,0,0,0,0.00743494423791822,0,0,0,0,0,0.0855018587360595
YP11,0,0,0,0,0,0,0.845360824742268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154639175257732
YP12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YP13,0,0,0,0.887410926365796,0,0,0.0622327790973872,0,0,0,0,0.00142517814726841,0,0.0489311163895487,0,0,0,0,0,0,0,0
YP14,0,0,0,0.945232273838631,0,0,0.0127139364303178,0,0,0,0,0,0,0.0410757946210269,0,0,0,0,0,0,0,0.00097799511002445
YP15,0,0,0,0.00346981263011797,0,0,0.789382373351839,0,0,0,0,0,0,0.0725190839694656,0,0,0,0,0,0,0,0.134628730048577
YP21,0.582441903356695,0,0,0,0,0,0.0625230542235338,0,0,0,0.000553301364810033,0,0,0,0,0,0,0,0.000553301364810033,0,0,0.353928439690151
YP22,0,0,0,0.951792024230187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482079757698132
YP23,0,0,0,0.637886597938144,0,0,0.25451030927835,0,0,0,0,0,0,0,0.00161082474226804,0,0,0.000966494845360825,0.00708762886597938,0,0,0.0979381443298968
YP24,0,0,0,0.85632183908046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14367816091954
YP25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ZH24,0,0,0,0.408284023668639,0,0,0,0,0,0.497041420118343,0,0,0,0,0,0,0,0,0,0,0,0.0946745562130178
BG21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BG22,0,0,0,0.355932203389831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135593220338983,0,0.508474576271186
BA14,0,0,0,0.857627118644068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142372881355932
