,NA_OTU1,Russula_OTU1,Tomentella_parmastoana_OTU1,Tomentella_OTU2,NA_OTU2,NA_OTU3,Lactarius_OTU1,NA_OTU4,Tomentella_OTU3,NA_OTU5,Tomentella_OTU4,NA_OTU6,Scleroderma_OTU1,Cladosporium_sphaerospermum_OTU1,NA_OTU7,Cryptococcus_laurentii_OTU1,Kurtzmanomyces_OTU1,Tomentella_OTU5,Tomentella_OTU6,Yarrowia_lipolytica_OTU1,Yarrowia_lipolytica_OTU2,NA_OTU8,NA_OTU9,NA_OTU10,Tomentella_OTU7,NA_OTU11,NA_OTU12,NA_OTU13,NA_OTU14,NA_OTU15,NA_OTU16,Tomentella_OTU8,NA_OTU17,Tomentella_OTU9,Tomentella_OTU10,Kurtzmanomyces_OTU2,NA_OTU18,Tomentella_OTU11,NA_OTU19,NA_OTU20,NA_OTU21,NA_OTU22,NA_OTU23,Tomentella_OTU12,NA_OTU24,NA_OTU25,NA_OTU26,NA_OTU27,NA_OTU28,NA_OTU29,Ceratobasidium_OTU1,NA_OTU30,NA_OTU31,NA_OTU32,NA_OTU33,NA_OTU34,NA_OTU35,Pyrenochaeta_OTU1,Russula_violeipes_OTU2,NA_OTU36,Penicillium_astrolabium_OTU1,Cryptococcus_uniguttulatus_OTU2,Schizophyllum_commune_OTU1,Cryptococcus_laurentii_OTU3,NA_OTU37,NA_OTU38,Phaeosphaeria_OTU1,NA_OTU39,Russula_OTU3,Vanrija_humicola_OTU1,Lopharia_cinerascens_OTU1,Fusarium_solani_OTU1,NA_OTU40,NA_OTU41,Malassezia_restricta_OTU1,Debaryomyces_hansenii_OTU1,NA_OTU42,Clavulina_OTU1,NA_OTU43,Inocybe_OTU1,NA_OTU44,Scleroderma_OTU2,NA_OTU45,Knufia_OTU1,NA_OTU46,NA_OTU47,Tomentella_OTU13,NA_OTU48,Asterodon_ferruginosus_OTU1,NA_OTU49
BA11,0,0.0710382513661202,0,0,0,0,0.877959927140255,0,0,0,0.0182149362477231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163934426229508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163934426229508,0,0,0,0,0,0,0,0,0
BA12,0,0,0,0,0,0,0.615384615384615,0,0,0,0,0,0,0.230769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA13,0.05,0,0,0,0,0,0.0583333333333333,0,0.616666666666667,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225
BA15,0,0,0,0,0,0,0.087719298245614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.912280701754386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA21,0.0161943319838057,0,0,0,0,0,0.0607287449392713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0809716599190283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.700404858299595,0,0,0,0,0,0,0,0,0.133603238866397,0,0,0,0,0,0,0,0,0.00809716599190283,0,0,0,0,0,0,0,0,0,0,0,0,0
BA22,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.666666666666667,0,0
BA24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA25,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB12,0,0,0,0.061836809366996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.934138309549945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00292718624222466,0.00109769484083425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB13,0,0.00551571980143409,0,0.00386100386100386,0,0.67319360176503,0.287920573634859,0,0,0,0,0,0.000827357970215113,0,0,0,0,0.0286817429674573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB14,0,0.102729088085201,0,0,0,0,0.845573552252052,0,0,0,0,0,0,0,0,0,0,0.0499223430219658,0,0,0,0,0,0,0,0,0.00177501664078101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB15,0,0,0,0.673350041771094,0,0,0.0025062656641604,0,0.0267335004177109,0,0,0,0,0,0,0,0,0.0175438596491228,0,0,0,0,0,0,0,0,0.232664995822891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229741019214703,0,0,0,0,0,0,0,0,0,0,0,0,0.0150375939849624,0,0,0,0,0.0012531328320802,0,0,0,0,0,0,0,0.00668337510442774,0,0,0,0,0,0,0,0,0,0.0012531328320802,0
BB21,0,0,0,0,0,0.0225123818099955,0,0,0.967582170193606,0,0,0,0,0,0,0,0,0.00990544799639802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB22,0,0.105682229460731,0,0,0,0.0343829171190735,0.0231632283749548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836771625045241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB23,0,0.901818181818182,0,0,0,0,0.00577540106951872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0894117647058824,0,0,0,0,0,0,0,0,0,0.00299465240641711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB24,0,0,0,0,0,0.0847540185094983,0.428153921091086,0,0.487092060399415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB25,0,0.997011952191235,0,0,0,0,0.00199203187250996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099601593625498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZH11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZH12,0,0,0,0.015177065767285,0,0,0,0,0.536256323777403,0,0.160202360876897,0.0573355817875211,0,0.00505902192242833,0.00843170320404722,0.0219224283305228,0.00505902192242833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202360876897133,0,0,0.146711635750422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00843170320404722,0,0,0,0,0,0,0,0,0,0,0,0,0.015177065767285,0,0,0,0,0,0,0
ZH13,0,0,0,0,0,0,0,0,0,0,0.733481811432814,0.155159613956941,0,0.00816629547141797,0,0.00296956198960653,0,0,0.0675575352635486,0,0,0,0,0,0,0,0,0,0,0,0.0126206384558278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126206384558278,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00742390497401633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZH14,0.0152671755725191,0,0,0,0,0,0,0,0,0,0.662213740458015,0.16030534351145,0,0.0133587786259542,0,0,0,0,0,0.0267175572519084,0.114503816793893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00381679389312977,0,0,0,0,0,0,0,0,0,0,0,0.00381679389312977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZH15,0,0.00212765957446809,0,0,0,0,0,0,0,0,0.728936170212766,0.165957446808511,0,0.0170212765957447,0,0.0127659574468085,0,0,0.0570212765957447,0,0,0,0,0,0,0,0,0,0,0.0114893617021277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00468085106382979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZH21,0,0,0,0.372549019607843,0,0,0.235294117647059,0,0,0,0.294117647058824,0.0490196078431373,0,0,0,0,0,0.0490196078431373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZH22,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
