,NA_OTU1,Russula_OTU2,Tomentella_parmastoana_OTU3,Tomentella_OTU4,NA_OTU5,NA_OTU6,Lactarius_OTU7,NA_OTU8,Tomentella_OTU9,NA_OTU10,Tomentella_OTU11,NA_OTU12,Scleroderma_OTU13,Cladosporium_sphaerospermum_OTU14,NA_OTU15,Cryptococcus_laurentii_OTU16,Kurtzmanomyces_OTU17,Tomentella_OTU18,Tomentella_OTU19,Yarrowia_lipolytica_OTU20,Yarrowia_lipolytica_OTU21,NA_OTU22,NA_OTU23,NA_OTU24,Tomentella_OTU25,NA_OTU26,NA_OTU27,NA_OTU28,NA_OTU29,NA_OTU30,NA_OTU31,Tomentella_OTU32,NA_OTU33,Tomentella_OTU34,Tomentella_OTU35,Kurtzmanomyces_OTU36,NA_OTU37,Tomentella_OTU38,NA_OTU39,NA_OTU40,NA_OTU41,NA_OTU42,NA_OTU43,Tomentella_OTU44,NA_OTU45,NA_OTU46,NA_OTU47,NA_OTU48,NA_OTU49,NA_OTU50,Ceratobasidium_OTU51,NA_OTU52,NA_OTU53,NA_OTU54,NA_OTU55,NA_OTU56,NA_OTU57,Pyrenochaeta_OTU58,Russula_violeipes_OTU59,NA_OTU60,Penicillium_astrolabium_OTU61,Cryptococcus_uniguttulatus_OTU62,Schizophyllum_commune_OTU63,Cryptococcus_laurentii_OTU64,NA_OTU65,NA_OTU66,Phaeosphaeria_OTU67,NA_OTU68,Russula_OTU69,Vanrija_humicola_OTU70,Lopharia_cinerascens_OTU71,Fusarium_solani_OTU72,NA_OTU73,NA_OTU74,Malassezia_restricta_OTU75,Debaryomyces_hansenii_OTU76,NA_OTU77,Clavulina_OTU78,NA_OTU79,Inocybe_OTU80,NA_OTU81,Scleroderma_OTU82,NA_OTU83,Knufia_OTU84,NA_OTU85,NA_OTU86,Tomentella_OTU87,NA_OTU88,Asterodon_ferruginosus_OTU89,NA_OTU90
BA11,0,39,0,0,0,0,482,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
BA12,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA13,6,0,0,0,0,0,7,0,74,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
BA15,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA21,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BA22,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0
BA24,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BA25,0,0,30,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB11,0,0,0,0,1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
