Samplenames,Location,pH,clay,silt,sand,X,Y
BA11,BA1,4.43,0.12,0.06,0.82,1.364581,103.837142
BA12,BA1,4.21,0.12,0.06,0.82,1.364053,103.836992
BA13,BA1,4.44,0.1,0.06,0.84,1.364603,103.836992
BA15,BA1,4.57,0.1,0.04,0.86,1.364481,103.8368
BA21,BA2,4.67,0.1,0.08,0.82,1.363761,103.840308
BA22,BA2,4.92,0.12,0.08,0.8,1.363744,103.840333
BA23,BA2,7.24,0.08,0.1,0.82,1.363725,103.8404
BA24,BA2,5.89,0.1,0.1,0.8,1.364453,103.840906
BA25,BA2,5.97,0.04,0.06,0.9,1.363731,103.840339
BB11,BB1,5.22,0.1,0.06,0.84,1.349161,103.7658
BB12,BB1,4.16,0.12,0.06,0.82,1.348478,103.769447
BB13,BB1,4.77,0.1,0.02,0.88,1.347606,103.768372
BB14,BB1,5.29,0.04,0.06,0.9,1.347611,103.768439
BB15,BB1,5.86,0.06,0.04,0.9,1.349106,103.765808
BB21,BB2,4.52,0.1,0.08,0.82,1.347947,103.761086
BB22,BB2,4.6,0.08,0.06,0.86,1.348036,103.761117
BB23,BB2,4.64,0.06,0.04,0.9,1.347981,103.760733
BB24,BB2,4.4,0.06,0.06,0.88,1.348228,103.761208
BB25,BB2,4.64,0.1,0.04,0.86,1.347214,103.760611
ZH11,ZH1,5.61,0.12,0.08,0.8,1.388833,103.774017
ZH12,ZH1,5.23,0.08,0.04,0.88,1.388644,103.774231
ZH13,ZH1,7.3,0.1,0.1,0.8,1.388508,103.774314
ZH14,ZH1,6.13,0.06,0.04,0.9,1.38865,103.774231
ZH15,ZH1,4.88,0.08,0.06,0.86,1.388467,103.774283
ZH21,ZH2,4.59,0.08,0.02,0.9,1.381492,103.775069
ZH22,ZH2,5.69,0.08,0.02,0.9,1.381647,103.774947
ZH23,ZH2,5.67,0.1,0.04,0.86,1.381697,103.774431
ZH25,ZH2,4.98,0.1,0.04,0.86,1.381528,103.774917
BG11,BG1,4.43,0.1,0.02,0.88,1.307528,103.816658
BG12,BG1,4.58,0.06,0.04,0.9,1.307689,103.816689
BG13,BG1,4.2,0.08,0.04,0.88,1.308508,103.816353
BG14,BG1,4.37,0.08,0.02,0.9,1.308533,103.816261
BG15,BG1,4.2,0.06,0.04,0.9,1.307881,103.816497
BG23,BG2,5.21,0.08,0.08,0.84,1.314858,103.813508
BG24,BG2,4.56,0.06,0.08,0.86,1.316097,103.815483
BG25,BG2,5.38,0.12,0.14,0.74,1.315917,103.8152
YP11,YP1,4.97,0.1,0.08,0.82,1.426903,103.841208
YP12,YP1,4.75,0.14,0.04,0.82,1.426956,103.841392
YP13,YP1,4.49,0.12,0.06,0.82,1.426822,103.8414
YP14,YP1,4.57,0.12,0.06,0.82,1.4268,103.841294
YP15,YP1,4.53,0.14,0.02,0.84,1.426753,103.841369
YP21,YP2,4.27,0.12,0.08,0.8,1.426778,103.840767
YP22,YP2,4.43,0.18,0.06,0.76,1.425939,103.840797
YP23,YP2,4.31,0.12,0.12,0.76,1.425806,103.840072
YP24,YP2,4.49,0.14,0.08,0.78,1.425814,103.840736
YP25,YP2,4.29,0.1,0.08,0.82,1.426794,103.840783
ZH24,ZH2,5.86,0.08,0.02,0.9,1.381539,103.774881
BG21,BG2,4.87,0.06,0.1,0.84,1.316008,103.815383
BG22,BG2,4.83,0.08,0.1,0.82,1.315289,103.815719
BA14,BA1,4.44,0.12,0.04,0.84,1.363458,103.836181
